kreisnr;kreisname;bundesland;einwohner;junge;alte;einkommen;wahlberechtigte;waehler;ungueltige;gueltige;Union;SPD;Gruene;Linke;AFD;FDP;DIEM25;Volt
3458;Oldenburg;Niedersachsen;129900;17.9;27.4;22378;101026;63567;288;63279;18017;11426;16005;2323;4914;4327;132;279
3459;Osnabrück;Niedersachsen;356100;19.1;27;21923;272850;171096;1148;169948;61369;33787;38160;5295;9556;8455;299;646
3460;Vechta;Niedersachsen;140500;23.1;21.6;21502;101152;65089;371;64718;31666;7671;11755;1522;3924;3733;77;259
3461;Wesermarsch;Niedersachsen;89000;18.1;30.2;20760;69579;37953;297;37656;10539;8825;8152;1446;2973;1993;68;144
3462;Wittmund;Niedersachsen;56700;17.6;31.3;20270;46175;24414;231;24183;7688;5601;4547;748;2118;1208;42;85
4011;Bremen, Stadt;Bremen;568000;23.4;26.8;21327;390010;253272;2838;250434;54940;60493;58633;20161;17995;11517;1218;1839
4012;Bremerhaven, Stadt;Bremen;113000;21.2;28.4;17741;80171;41789;799;40990;8874;10771;7446;2786;4473;2105;87;174
5111;Düsseldorf, Stadt;Nordrhein-Westfalen;617300;23.4;24.9;24882;414525;263187;1451;261736;64587;39877;76394;12587;18079;22172;1334;3014
5112;Duisburg, Stadt;Nordrhein-Westfalen;498100;21.7;26.6;16881;325373;162889;1546;161343;32105;39557;31532;9319;19359;8447;422;1045
5113;Essen, Stadt;Nordrhein-Westfalen;583400;22.2;27.8;20159;416106;246269;1877;244392;57242;51163;55645;11303;26304;15744;713;1513
5114;Krefeld, Stadt;Nordrhein-Westfalen;226700;20.1;28.4;21115;162064;93881;775;93106;24918;17017;22803;4388;7246;7041;313;586
5116;Mönchengladbach, Stadt;Nordrhein-Westfalen;262200;21.3;27.3;20656;188522;103412;1042;102370;30600;16469;23257;4514;8868;7215;243;580
5117;Mülheim an der Ruhr, Stadt;Nordrhein-Westfalen;171300;18.9;30.3;23091;123207;77172;575;76597;18299;16229;17594;3243;7396;5832;196;437
5119;Oberhausen, Stadt;Nordrhein-Westfalen;211400;20.2;28.7;18181;150624;82901;851;82050;18091;20422;15337;4109;10010;4335;188;433
5120;Remscheid, Stadt;Nordrhein-Westfalen;110600;18.9;28.7;22413;77129;43470;455;43015;11733;8290;9224;1910;4254;2932;67;189
5122;Solingen, Klingenstadt;Nordrhein-Westfalen;158800;19.5;27.7;23357;112713;64710;526;64184;16506;11310;15870;3090;5869;4623;139;375
5124;Wuppertal, Stadt;Nordrhein-Westfalen;353600;21.7;26.9;20759;238998;140582;1097;139485;31132;25947;35420;8565;13628;8718;572;864
5154;Kleve;Nordrhein-Westfalen;311300;20.3;27.1;19947;227072;136936;1138;135798;48756;23140;29493;4398;8692;9643;203;872
5158;Mettmann;Nordrhein-Westfalen;485400;17.3;30.3;25021;367255;234470;1887;232583;67117;40332;54145;8214;20603;18496;595;1450
5162;Rhein-Kreis Neuss;Nordrhein-Westfalen;449400;17.7;28.4;24546;334970;211321;1599;209722;68003;34152;45452;6704;16801;18190;499;1430
5166;Viersen;Nordrhein-Westfalen;298700;18;28.7;22492;228023;141531;1143;140388;45986;22425;33173;4794;9873;11048;288;739
5170;Wesel;Nordrhein-Westfalen;460700;18.1;30.3;21372;356669;218552;1843;216709;59081;48737;44847;9330;19658;14243;333;1013
5314;Bonn, Stadt;Nordrhein-Westfalen;325500;25.5;23.3;23056;228055;158454;818;157636;36292;24317;50341;7674;9417;11084;1054;2845
5315;Köln, Stadt;Nordrhein-Westfalen;1080400;25.4;22.6;21608;740445;478584;2530;476054;94220;80809;156513;29156;29371;29704;3426;7624
5316;Leverkusen, Stadt;Nordrhein-Westfalen;163600;19.4;27.7;20884;116192;69726;580;69146;18053;13790;15693;2952;6510;4613;190;529
5334;Städteregion Aachen;Nordrhein-Westfalen;554100;25.3;26.3;19781;405297;249066;1785;247281;66036;49130;60880;10988;17066;14899;1143;4205
