Zulassungsbezirk;Insgesamt;Benzin;Diesel;Gas;Hybrid.insgesamt;Hybrid.Plug-in;Elektro
10046  SANKT WENDEL;60192;40051;19408;441;246;22;34
14511  CHEMNITZ, STADT;124586;89437;33267;987;725;67;100
14521  ERZGEBIRGSKREIS;201611;146601;52895;1345;604;76;83
14522  MITTELSACHSEN;179062;127057;49454;1755;635;72;82
14523  VOGTLANDKREIS;136117;98737;35814;911;553;65;57
14524  ZWICKAU;184259;135614;46230;1484;692;82;156
14612  DRESDEN, STADT;224893;156505;64084;1955;1946;230;300
14625  BAUTZEN;179078;128958;47499;1685;767;70;74
14626  GOERLITZ;142310;108135;32355;1183;500;58;62
14627  MEISSEN;135635;95900;37697;1098;799;58;73
14628  SAECHS.SCHWEIZ-OSTERZGEB.;140432;101511;36815;1136;823;71;78
14713  LEIPZIG, STADT;223734;161872;57244;2396;1810;195;302
14729  LEIPZIG;150746;105861;42448;1695;589;83;83
14730  NORDSACHSEN;113398;80217;31711;999;381;47;51
15001  DESSAU-ROSSLAU,STADT;42078;31280;10082;419;250;22;18
15002  HALLE (SAALE),STADT;93461;69929;21887;901;626;70;54
15003  MAGDEBURG, STADT;109775;79659;28516;905;542;87;96
15081  ALTMARKKREIS SALZWEDEL;50403;32357;17371;468;164;22;24
15082  ANHALT-BITTERFELD;92299;68079;23210;617;307;35;39
15083  BOERDE;104677;71549;31816;1004;231;38;43
15084  BURGENLANDKREIS;101263;73545;26204;1045;362;56;43
15085  HARZ;121968;83999;36162;1285;407;55;48
15086  JERICHOWER LAND;53981;37128;16175;412;220;21;19
15087  MANSFELD-SUEDHARZ;79765;56626;22267;483;323;29;29
15088  SAALEKREIS;112732;80481;30531;1033;591;66;39
15089  SALZLANDKREIS;105022;76343;27099;1054;436;30;19
15090  STENDAL;63097;41769;20543;535;209;13;24
15091  WITTENBERG;74681;54521;19022;681;393;28;27
01001  FLENSBURG,STADT;43075;26386;16028;363;219;48;64
01002  KIEL,STADT;109052;71250;36159;811;687;131;128
01003  LUEBECK,STADT;97316;66011;29824;943;427;76;97
01004  NEUMUENSTER,STADT;41347;26907;13756;424;220;26;34
01051  DITHMARSCHEN;79193;48185;29997;622;287;37;87
01053  HERZOGTUM LAUENBURG;114079;73632;38554;1309;448;93;119
01054  NORDFRIESLAND;100054;60138;38403;846;377;123;262
01055  OSTHOLSTEIN;122574;82058;38951;1111;335;61;99
01056  PINNEBERG;173344;117967;52868;1419;874;142;190
01057  PLOEN;78264;50583;26732;556;313;41;66
01058  RENDSBURG-ECKERNFOERDE;168477;101773;64345;1522;680;93;140
01059  SCHLESWIG-FLENSBURG;123328;70565;51050;1190;346;68;153
01060  SEGEBERG;162312;104553;55248;1519;795;131;169
01061  STEINBURG;79170;50184;27897;766;255;37;52
01062  STORMARN;147752;96028;49455;1300;789;115;146
16051  ERFURT, STADT;96588;66297;28778;869;498;119;115
16052  GERA, STADT;45499;32657;12168;404;234;23;18
16053  JENA, STADT;44532;29995;13763;367;336;38;48
16054  SUHL, STADT;19323;13212;5805;133;160;9;5
16055  WEIMAR, STADT;28804;19772;8589;240;166;26;26
16056  EISENACH, STADT;21717;15477;5913;178;122;14;17
16061  EICHSFELD;59723;38868;19984;693;142;54;21
16062  NORDHAUSEN;47018;33279;13100;444;133;21;53
16063  WARTBURGKREIS;75233;51445;22768;732;228;34;38
16064  UNSTRUT-HAINICH-KREIS;56237;38797;16636;570;198;37;25
16065  KYFFHAEUSERKREIS;44293;31429;12382;357;94;15;11
16066  SCHMALKALDEN-MEININGEN;73918;48986;23990;580;278;42;51
16067  GOTHA;75253;52593;21706;634;238;44;46
16068  SOEMMERDA;40059;27574;12024;344;94;18;10
16069  HILDBURGHAUSEN;39210;25457;13323;292;111;10;9
16070  ILM-KREIS;59153;40078;18219;513;220;31;100
16071  WEIMARER-LAND;47755;32591;14517;429;188;25;21
16072  SONNEBERG;33329;24056;8872;262;111;15;14
16073  SAALFELD-RUDOLSTADT;61331;42609;17965;492;224;30;18
16074  SAALE-HOLZLANDKREIS;48817;33267;14758;488;264;25;20
16075  SAALE-ORLA-KREIS;50205;33908;15699;457;106;19;16
16076  GREIZ;60286;41863;17583;558;240;23;23
16077  ALTENBURGER LAND;51151;38093;12428;440;144;19;26
