StadtID;Einwohner;Haushaltseinkommen;Bruttoverdienst;Medianeinkommen;Medianeinkommen Frauen;Medianeinkommen Männer;Medianeinkommen Diffferenz
ID 9188;133621;2897,8;2968,7;3400;2944;3786;842
ID 9189;174162;1902,8;2647,3;3030;2558;3261;703
ID 9190;132906;1973,7;2697,6;3306;2941;3475;534
ID 9261;69211;1840,5;2477,8;2941;2724;3121;397
ID 9262;50566;1661,1;2571,2;3121;2560;3402;842
ID 9263;46806;1785,2;2500,2;2859;2565;3025;460
ID 9271;116596;1732,3;2533;2873;2420;3059;639
ID 9272;78122;1581;2097,1;2573;2045;2744;699
ID 9273;118965;1807,7;2447,4;2928;2511;3066;555
ID 9274;154577;1877;2514,9;2948;2493;3109;616
ID 9275;188336;1670,1;2226,8;2598;2046;2803;757
ID 9276;76812;1647,7;2248,7;2702;2152;2896;744
ID 9277;119218;1763,6;2239,3;2644;2130;2842;712
ID 9278;98806;1723,3;2364,6;2696;2034;2931;897
ID 9279;94104;1754,6;3227,9;3779;2698;4451;1753
ID 9361;41861;1813,5;2713,9;3204;2849;3464;615
ID 9362;145465;1780,8;3081,6;3454;2923;3888;965
ID 9363;42055;1700,7;2277,7;2684;2437;2868;431
ID 9371;103568;1693,3;2464,8;2940;2416;3085;669
ID 9372;126359;1706,1;2264;2608;2061;2810;749
ID 9373;130385;1790,7;2466,1;2989;2520;3131;611
ID 9374;95078;1683,2;2374,3;2776;2315;2904;589
ID 9375;189390;1830,2;2535,8;2951;2469;3150;681
ID 9376;144864;1683,2;2356;2783;2302;2978;676
ID 9377;73314;1723,5;2414;2759;2191;2919;728
ID 9461;73331;1698,9;2577,3;3159;2603;3495;892
ID 9462;72148;1799,6;2647,6;3012;2711;3226;515
ID 9463;41257;2003,5;3033,9;3281;2933;3444;511
ID 9464;44660;1686,3;2355,3;2508;2244;2620;376
ID 9471;145570;1825,3;2361,3;2715;2255;2854;599
ID 9472;104306;1795,1;2373,2;2677;2238;2848;610
ID 9473;86599;2012,9;2300,1;2483;2096;2629;533
ID 9474;114834;1875,4;2499,5;2856;2366;3058;692
ID 9475;96429;1761,6;2452,9;2539;2251;2637;386
ID 9476;67916;2010,9;2288,8;2529;2082;2668;586
ID 9477;72468;1814;2464,1;2772;2460;2883;423
ID 9478;66655;1768,3;2360,5;2509;2179;2665;486
ID 9479;73185;1820,7;2422,3;2754;2365;2897;532
ID 9561;41159;1732,5;2686,1;3005;2662;3248;586
ID 9562;108336;1973,8;3669,4;4366;3372;5124;1752
